AAA.TO	Allana Potash Corp
IBG.DB.A.TO	Ibi Group Inc 5.75 Pct Debs
IBG.DB.B.TO	Ibi Group Inc 6 Pct Debs
ICE.TO	Canlan Ice Sports Corp.
ICI.TO	Inter-Citic Minerals Inc.
ICP.TO	Ic Potash Corp
ICS.TO	Intrinsyc Software International Inc.
IDC.TO	Intl Datacasting J
IDE.UN.TO	Energy Indexplus Dividend Fund
IDF.UN.TO	Indexplus Dividend Fund
IDG.TO	Indigo Books & Music Inc.
IDL.TO	Imaging Dynamics Company Ltd
IDR.UN.TO	Reit Indexplus Income Fund
IDX.UN.TO	Indexplus Income Fund.
IE.TO	Ivanhoe Energy
IE.DB.TO	Ivanhoe Energy Inc 5.75 Pct Debs
IFC.TO	Intact Financial Corporation
IFC.PR.A.TO	Intact Financial Corp Pref Cl A
IFC.PR.C.TO	Intact Financial Corp Pref Cl A
IFP.A.TO	International Forest Products Ltd.Cl.A
IGM.TO	Igm Financial Inc.
IGM.PR.B.TO	Igm Financial Inc 5.90 Pref Ser B
IGT.TO	Ishares Gold Trust
III.TO	Imperial Metals Corp
IIP.UN.TO	Interrent Real Estate Investment Trust
IM.TO	Imris Inc.
IMG.TO	Iamgold Corp
IMN.TO	Inmet Mng Corp
IMO.TO	Imperial Oil
IMP.TO	Intermap Tech Corp.
IMX.TO	Imax Corp
IMZ.TO	International Minerals Corporation
IMZ.DB.TO	International Minerals Corp. 5.5% Debs
INC.UN.TO	Income Fin Un
INE.TO	Innergex Renewable Energy Inc.
INE.DB.TO	Innergex Renewable Energy 5 75 Conv Deb
INE.PR.A.TO	Innergex Renewable Energy Pref Ser A
INN.DB.B.TO	Innvest R.E. Investment Trust 6% Debs
INN.DB.C.TO	Innvest Reit 5.85% Debs
INN.DB.D.TO	Innvest Reit 6.75 Pct Conv Debs
INN.DB.E.TO	Innvest Reit 6 Pct Series E Debs
INN.DB.F.TO	Innvest Reit 5.75 Pct Debs
INN.UN.TO	Innvest Real Estate Investment Trust
INQ.TO	Inscape Corp
INV.TO	Inv Metals Inc.
IPL.UN.TO	Inter Pipeline Fund
IRD.TO	Intl Road Dynam
IRG.TO	Imvescor Restaurant Group Inc.
IRL.TO	Minera Irl Limited
ISA.TO	Isotechnika Pharma Inc.
ISL.U.TO	ING Floating Rate Senior Loan Fund USD
ISL.UN.TO	ING Floating Rate Senior Loan Fund
ISM.TO	Inspiration Mining Corporation
ISN.TO	Insignia Energy Ltd.
ITH.TO	International Tower Hill Mines Ltd
ITP.TO	Intertape Polymer
IVA.TO	Ivanhoe Australia Ltd
IVN.TO	Ivanhoe Mines J
IVW.TO	Ivernia Inc
JAG.TO	Jaguar Mining Inc.
JCT.TO	Jewett-Cameron Tra Com Npv
JDN.TO	Jayden Resources Inc
JDU.TO	Jds Uniphase Canada Ltd.
JE.TO	Just Energy Group Inc
JE.DB.TO	Just Energy Group Inc. 6.0 Debs
JE.DB.A.TO	Just Energy Group Inc Debs A
JE.DB.B.TO	Just Energy Group Inc 5.75 Conv Sub Deb
JEC.TO	Jura Energy Corp.
JFC.TO	Jaguar Financialcorp.
JOV.TO	Jovian Capital Corporation
K.TO	Kinross Gold Corp.
K.WT.C.TO	Kinross Gold Corp. Wts C
K.WT.D.TO	Kinross Gold Corp Wts
KAT.TO	Katanga Mining Limited
KBL.TO	Kbro Linen Inc.
KBR.TO	Kimber Res Inc.
KDX.TO	Klondex Mines Ltd.
KEG.UN.TO	Keg Royalties Income Fund
KEY.TO	Keyera Corp
KEY.DB.A.TO	Keyera Corp 8.25 Pct Debs
KFS.TO	Kingsway Fin
KGI.TO	Kirkland Lake Gold Inc.
KGN.TO	Keegan Resources Inc.
KMP.TO	Killam Properties Inc.
KMP.DB.A.TO	Killam Properties Inc 5.65 Pct Debs
KMP.DB.B.TO	Killam Properties Inc 5.45 Pct Debs
KOR.TO	Corvus Gold Inc
KRI.TO	Khan Resources Inc
KRN.TO	Karnalyte Resources Inc
KSP.UN.TO	Kingsway Linked Return Of Capital Trust
L.TO	Loblaw Co
L.PR.A.TO	Loblaw Companies Ltd 2Nd Pref Ser A
LAC.TO	Lithium Americas Corp
LAM.TO	Laramide Resources Ltd.
LAS.A.TO	Lassonde Industries Inc. Cl A Sv
LB.TO	Laurentian Bank
LB.PR.D.TO	Laurentian Bank Of Cda N-Cum Pr Ser 9
LB.PR.E.TO	Laurentian Bank Of Cda Ser 10 5.25%
LBE.TO	Liberty Mines Inc.
LBS.TO	Life & Banc Split Corp.
LBS.PR.A.TO	Life & Banc Split Corp.
LCS.TO	Brompton Lifeco Split Corp Class A
LCS.PR.A.TO	Brompton Lifeco Split Corp Pref Shares
LEG.TO	Legacy Oil And Gas Inc
LEX.TO	Lexam Vg Gold Inc
LFE.TO	Canadian Life Companies Split Corp.
LFE.PR.A.TO	Canadian Life Companies Split Corp. Pr.A
LGT.A.TO	Logistec Corporation Cl.A Mv
LGT.B.TO	Logistec Corporation Cl.B Sv
LIF.UN.TO	Labrador Iron Ore Royalty Corporation
LII.TO	Logan International Inc
LIM.TO	Labrador Iron Mines Holdings Limited
LIP.TO	Lipari Energy Inc
LIQ.TO	Liquor Stores Na Ltd.
LIQ.DB.TO	Liquor Stores Na Ltd. 6.75 Pct Debs
LIQ.DB.A.TO	Liquor Stores N.A. Ltd 5.85 Pct Debs
LLL.TO	Lululemon Athletica Inc
LMA.TO	La Mancha Resources Inc.
LNF.TO	Leons Furniture
LNR.TO	Linamar Corp
LNV.TO	Longview Oil Corp
LOR.TO	Lorus Therapeutics Inc.
LOW.UN.TO	Low Volatility Cdn Equities Inc Fund
LPK.TO	Lupaka Gold Corp
LPK.WT.TO	Lupaka Gold Corp Wts
LPR.TO	Lone Pine Resources Inc
LPV.UN.TO	Global Strat Lp Un
LRM.TO	Linear Metals Corporation
LRT.DB.G.TO	Lanesborough Reit 7.50% Debs
LRT.NT.A.TO	Lanesborough A Nt J
LRT.UN.TO	Lanesborough R.E. Investment Trust
LRT.WT.TO	Lanesborough Reit Warrants
LRT.WT.A.TO	Lanesborough A Wt J
LSA.TO	Lachlan Star Limited
LSC.TO	Lifeco Split
LSC.PR.C.TO	Lifeco Split Corp Inc. Cl C Pref
LSG.TO	Lake Shore Gold Corp.
LSL.TO	Liberty Silver Corp
LUC.TO	Lucara Diamond Corp
LUN.TO	Lundin Mining Corp.
LUP.TO	Lundin Petroleum Ab
LVN.TO	Levon Resources Ltd.
LW.TO	Leisureworld Senior Care Corp
LWP.TO	Legumex Walker Inc
LXF.TO	Can 60 Income ETF
LYD.TO	Lydian International Limited
MAA.TO	Magindustries Corp.
MAG.TO	Mag Silver Corp.
MAK.TO	Minemakers Limited
MAL.TO	Magellan Aero
MAQ.TO	Mcewen Mining Minera Andes Acq Corp
MAW.TO	Mawson Resources Ltd.
MAX.TO	Midas Gold Inc
MAY.TO	Meadow Bay Gold Corporation
MB.TO	Mega Brandsinc.
MB.NT.TO	Mega Brands Inc. 10 Pct Debs
MB.WT.TO	Mega Brands Inc. Wts
MBA.TO	Cibt Education Group Inc
MBB.UN.TO	Aston Hill Adv Bond Fund
MBC.TO	Mbac Fertilizer Corp.
MBN.TO	Middlefield Bancp Com Npv
MBT.TO	Manitoba Telecom
MBX.TO	Microbix J
MCB.TO	Mccoy Corporation
MCZ.TO	Mad Catz Interactive Inc.
MDA.TO	Macdonald Dettwiler
MDF.TO	Mediagrif Interac
MDG.TO	Medicago Inc
MDI.TO	Major Drilling Grp
MDM.TO	Mineral Deposits Limited
MDN.TO	Mdninc.
MDZ.A.TO	Mdc Partners Inc. Cl .A Sv
ME.TO	Moneta Porcupine J
MEG.TO	Meg Energy Corp.
MEL.TO	Midway Energy Ltd.
MEQ.TO	Mainstreet Eq J
MET.TO	Metalore Resources Com Npv
MFC.TO	Manulife Fin
MFC.PR.A.TO	Manulife Financial Corp Class A
MFC.PR.B.TO	Manulife Financial Corp Cl A Pr. Ser 2
MFC.PR.C.TO	Manulife Financial Corp. Cl A Prf Ser 3
MFC.PR.D.TO	Manulife Financial Corp Pref. Cl A Ser 4
MFC.PR.E.TO	Manulife Financial Corp Pref. Cl 1 Ser 1
MFC.PR.F.TO	Manulife Financial Corp Class 1 Sh Ser 3
MFC.PR.G.TO	Manulife Financial Non Cum Cla 1 Ser 5
MFC.PR.H.TO	Manulife Financial Corp Series 7 Pref Sh
MFI.TO	Maple Leaf Foods
MFT.M.TO	Manulife Financial Capital Trust
MG.TO	Magna International Inc
MGA.TO	Mega Uranium Ltd.
MGA.WT.B.TO	Mega Uranium Ltd. Wts B
MGO.TO	Migao Corporation
MGT.TO	Mines Management Inc.
MGX.TO	Mgm Energy Corp.
MHR.TO	Mcgraw-Hill Ryerson
MHY.UN.TO	Marret High Yield Strategies Fund
MIC.TO	Genworth Mi Canada Inc.
MID.UN.TO	Mint Income Fund
MIF.UN.TO	Marquest Canadian Equity Incom
MIG.UN.TO	Marret Investment Grade Bond Fund
MIM.TO	Mi Developments Inc
MIP.TO	Middlefield Income Plus Ii Corp
MKP.TO	Mcan Mortgage Corporation
MKZ.UN.TO	Mackenzie Mstr Un
ML.TO	Mercator Minerals Ltd.
ML.WT.A.TO	Mercator Minerals Ltd. Wts
MLD.UN.TO	Moneda Latam Corp Bond Fund
MLG.TO	Malaga Inc.
MLP.TO	Front Street Mlp Income Fund
MLQ.TO	Front Street Mlp In Fd Ii Ltd
MM.TO	Mood Media Corporation
MM.DB.U.TO	Mood Media US Deb J
MMF.UN.TO	Marret Multi Strategy Income Fund
MMM.TO	Minco Gold Corporation
MMN.UN.TO	Multi-Manager Unit
MMP.UN.TO	Precious Metals And Mining Trust
MMS.TO	Macarthur Minerals Limited
MMW.TO	Magma Metals Limited
MN.TO	March Networks Corp.
MNB.TO	Mirabela Nickel Limited
MND.TO	Mandalay Resources Corporation
MND.WT.TO	Mandalay Resources Corp Wts
MNR.TO	Mediterranean Resources Ltd.
MNT.TO	Royal Canadian Mint
MNT.U.TO	Royal Canadian Mint USD
MOL.TO	Moly Mines Limited
MOZ.TO	Marathon Gold Corporation
MPC.TO	Madison Pac Cl B
MPC.C.TO	Madison Pacific Properties Inc.
MPI.TO	Metals Plus Income Corp
MPM.TO	Markland Agf Precious Metals Corp.
MPV.TO	Mountain Prov J
MQA.UN.TO	Macquarie Emerging Mkts Units
MRC.TO	Morguard Corp.
MRD.TO	Melcor Dev
MRE.TO	Martinrea International Inc.
MRG.UN.TO	Morguard Na Residential Reit Units
MRI.U.TO	Mercer International Inc
MRN.TO	Marengo Mining Limited
MRT.DB.TO	Morguard Reit 6.50 Debs
MRT.UN.TO	Morguard Un
MRU.TO	Metro Inc. Cl.A Sv
MRY.TO	Mariana Resources Ltd
MSI.TO	Morneau Shepell Inc.
MSI.DB.TO	Morneau Shepell Inc. 5.75 Pct Debs
MSL.TO	Merus Labs International Inc
MSN.UN.TO	Morguard Sunstone Real Estate Income Fd
MSO.UN.TO	Manulife Strategic Income Opp Fd
MSV.TO	Minco Silver Corp.
MT.TO	Miranda Technologies Inc.
MTA.TO	Matrix Asset Management Inc
MTG.TO	Timbercreek Sr Mortgage Investment Corp
MTL.TO	Mullen Group Ltd.
MTM.TO	Mitec Telecom
MTY.TO	Mty Food Group Inc
MUX.TO	Mcewen Mining Inc
MWE.TO	Mawson West Ltd
MX.TO	Methanex Corp
MXF.TO	Can Materials Income ETF
MXF.A.TO	Can Materials Income ETF Adviso
MXG.TO	Maxim Power Corp.
MYG.TO	Methylgene Inc.
NA.TO	National Bank Of Canada
NA.PR.K.TO	Natl Bk Ser 15 Pr
NA.PR.L.TO	National Bank Preferred Ser. 16
NA.PR.M.TO	National Bank Of Can. Pref. Shres Srs 20
NA.PR.N.TO	National Bank Of Can. Prf. Shrs Sr 21
NA.PR.O.TO	National Bank Pref Series 24
NA.PR.P.TO	Natl Bank Pref Series 26
NAE.TO	Nal Energy Corporation
NAE.DB.TO	Nal Energy Corp. 6.75 Pct Debs
NAE.DB.A.TO	Nal Energy Corp. 6.25 Pct Debs
NAE.DB.B.TO	Nal Energy Corp 6.25 Pct Debs Cl B
NAF.UN.TO	North Amer Finan Cap Sec Tr
NAL.TO	Newalta Corporation
NAU.TO	Northland Resources S.A
NBD.TO	Norbord Inc.
NBD.WT.TO	Norbord Inc. Wts
NCC.A.TO	Newfoundland Capital Corp. Cl A Sv
NCD.UN.TO	North American Adv Covertibles Fund
NCF.TO	Northcliff Resources Ltd
NCQ.TO	Novacopper Inc
NCU.TO	Nevada Copper Corp.
ND.TO	New Dawn Mining Corp.
NDM.TO	Northern Dynasty Minerals Ltd.
NDN.TO	Nordion Inc
NDQ.TO	Novadaq Technologies Inc.
NEM.TO	Neo Material Technologies Inc.
NEM.DB.U.TO	Neo Material Technologies Inc 5 Pct Debs
NEW.A.TO	Newgrowth Corp Cl'A' Cap Shs Np
NEW.PR.C.TO	Newgrowth Corp. Class B Pref. Series 2
NFI.TO	New Flyer Industries Inc
NFI.UN.TO	New Flyer Industries Ids
NG.TO	Novagold Res Inc.
NGD.TO	New Gold Inc.
NGD.DB.TO	New Gold Inc 5% Syb Conv Deb
NGD.NT.TO	New Gold 10% Unsecured D Notes
NGD.WT.A.TO	New Gold Inc. Warrants
NGD.WT.C.TO	New Gold Inc.
NGL.TO	Angle Energy Inc.
NGL.DB.TO	Angle Energy Inc. 5.75 Pct Debs
NGQ.TO	Ngex Resources Inc.
NHC.TO	Northstar Healthcare Inc.
NI.TO	Victory Nickel Inc.
NIC.TO	Pure Nickel Inc.
NIF.UN.TO	Noranda Income Fund
NII.TO	Norsat Intl
NIO.TO	Niocan Inc J
NKO.TO	Niko Res
NLN.TO	Neulion Inc.
NM.TO	Newcrest Mining Limited
NMC.TO	Newmont Mining Corp. Of Cda Ltd.
NML.TO	New Millennium Iron Corp
NNN.TO	Nimin Energy Corp.
NOA.TO	North American Energy Partners Inc.
NPC.TO	Allon Therapeutics Inc.
NPI.TO	Northland Power Inc.
NPI.DB.A.TO	Northland Power Inc. 6.25 Pct Debs
NPI.PR.A.TO	Northland Power Preferred Equity Inc.
NPK.TO	Verde Potash Plc
NPR.UN.TO	Northern Property Reit
NRE.TO	Namibia Rare Earths Inc
NRG.TO	Alter Nrg Corp.
NRI.TO	Nuvo Research Inc.
NSI.PR.D.TO	Nova Scotia Pr D
NSU.TO	Nevsun Res J
NTB.TO	Neptune Technologies & Bioressources Inc
NTI.TO	Northcore Technologies Inc.
NUS.TO	Nautilus Minerals Inc.
NUX.TO	New Pacific Metals Corp
NVA.TO	Nuvista Energy Ltd.
NWC.TO	The North West Company Inc
NWH.UN.TO	Northwest Healthcare Prop Reit
NWI.TO	Nuinsco Res J
NXJ.TO	Nexj Systems Inc
NXY.TO	Nexen Inc.
NXY.PR.A.TO	Nexen Inc Pref Ser 2
NXY.PR.U.TO	Nexen Inc 7.35 Notes
OCH.UN.TO	Oleary Cdn Income Opp Fd2
OCS.UN.TO	Ocp Credit Strategy Fund
OCV.UN.TO	Yield Advantaged Conv Deb Fund
OCX.TO	Onex Corporation Sv
ODI.UN.TO	Oleary Canadian Diversified Income Fund
OFR.UN.TO	Floating Rate Income Fund
OGC.TO	Oceanagold Corporation
OGD.TO	Orbit Garant Drilling Inc.
OGF.UN.TO	Aston Hill Oil And Gas Income Fund
OHA.UN.TO	Oleary Hard Asset Income Fund
OLE.TO	Oromin Explorations Ltd.
OMG.TO	Opmedic Group Inc.
OMI.TO	Orosur Mining Inc
OMN.TO	Oracle Mining Corp
ONC.TO	Oncolytics Bio
ONE.TO	O1 Communique J
ONR.TO	Open Range Energy Corp.
OPM.TO	Opta Minerals Inc.
ORA.TO	Aura Mineralsinc.
ORE.TO	Orezone Gold Corporation
ORL.TO	Orocobre Limited
ORT.TO	Orbite V.S.P.A. Inc. [Exploration]
ORV.TO	Orvana Minerals J
OSF.UN.TO	Oil Sands Sector Fund
OSK.TO	Osisko Mining Corporation
OSL.UN.TO	Ocp Senior Credit Fund
OSU.TO	Orsu Metals Corporation
OTC.TO	Open Text Corp
OTT.UN.TO	Otelco Inc Inc Dep Sec[1 Cl'A'&
OUS.UN.TO	Omega Advisors US Cap App Fund
OUY.U.TO	Oleary US Strategic Yield Adv Fd Cl U
OUY.UN.TO	Oleary US Strategic Yield Adv Fd Cl A
OXF.TO	Can Energy Income ETF
OXF.A.TO	Can Energy Income Advisor Class
OYM.TO	Olympus Pacific Minerals Inc.
P.TO	Primero Mining Corp
P.WT.TO	Primero Mining Corp Wts
PAA.TO	Pan American J
PAP.A.TO	Paulin H & Co Ltd Cl A
PAR.DB.TO	Partners Real Estate Tr Dbs
PAR.UN.TO	Partners Reit
PBG.TO	Petrobank J
PBH.TO	Premium Brands Holdings Corporation
PBH.DB.TO	Premium Brands Holdings Corp. 7 Pct Debs
PBH.DB.A.TO	Premium Brands Holdings 5.75 Pct Debs
PBL.TO	Pollard Banknote Limited
PBN.TO	Petrobakken Energy Ltd
PBU.UN.TO	Precious Metals Bullion Trust
PBY.UN.TO	Canso Credit Income Fund Units
PCD.UN.TO	Pathfinder Conv Debenture Fund
PCE.TO	Pace Oil And Gas Ltd
PCU.UN.TO	Premier Canadian Income Fund
PCY.TO	Prophecy Coal Corp
PD.TO	Precision Drilling Corporation
PDC.TO	Powershares Cdn Div Idx ETF
PDL.TO	N A Palladium
PDN.TO	Paladin Energy Ltd.
PDV.TO	Prime Dividend Corp. Cl A
PDV.PR.A.TO	Prime Dividend Corp Preferred
PEY.TO	Peyto Exploration And Dvlpmnt Corp.
PFB.TO	Pfb Corp
PFH.TO	Powershares Hy Corp Bond Idx ETF
PFN.TO	Pacific North West Capital Corp.
PFR.UN.TO	Advantaged Preferred Share Trust
PG.TO	Premier Gold Mines Ltd.
PGD.TO	Peregrine Diamonds Ltd.
PGF.TO	Pengrowth Energy Corporation
PGL.TO	Powershares Ultra Dlux Lt Govt Bd ETF
PHD.TO	Phonetime Inc
PHS.U.TO	Sprott Physical Silver Trust
PHX.TO	Phx Energy Services Corp.
PHY.U.TO	Sprott Physical Gold Trust
PIC.A.TO	Premium Income A
PIC.PR.A.TO	Premium Income Pr
PIH.TO	Pacific Insight El Com Npv
PIX.TO	Peer 1 Network Enterprises Inc
PJC.A.TO	Jean Coutu Group [Pjc] Inc. Cl. A Sv
PKI.TO	Parkland Fuel Corporation
PKI.DB.TO	Parkland Fuel Corp. 6.5 Pct Debs
PKI.DB.A.TO	Parkland Fuel Corp. 5.75 Pct Debs
PKL.TO	Pc Gold Inc.
PLB.TO	Paladin Labs J
PLG.TO	Pilot Gold Inc
PLI.TO	Prometic Life Sciences Inc.
PLS.TO	Polaris Minerals Corporation
PLT.DB.TO	Parallel Energy Trust 6.50 Pct Debs
PLT.UN.TO	Parallel Energy Trust
PME.TO	Sentry Select Primary Metals Corp.
PMG.TO	Petrominerales Ltd.
PMT.TO	Perpetual Energy Inc.
PMT.DB.C.TO	Perpetual Energy Inc. 6.50 Debs
PMT.DB.D.TO	Perpetual Energy Inc. 7.25 Conv Debs
PMT.DB.E.TO	Perpetual Energy Inc. 7.00 Conv Debs
PMU.TO	Pacific Rim Mining Corp.
PMZ.DB.TO	Primaris Retail R.E. Inv.Tr 6.75% Debs
PMZ.DB.A.TO	Primaris Retail Reit 5.85% Debs
PMZ.DB.B.TO	Primaris Retail Reit Debs. B
PMZ.DB.C.TO	Primaris Retail Reit 5.40 Pct Debs
PMZ.UN.TO	Primaris Retail R.E. Invest. Tr. Units
PN.TO	Pni Digital Media Inc
PNC.A.TO	Postmedia Network Canada Corp
PNC.B.TO	Postmedia Network Canada Corp
PNP.TO	Pinetree Capital Ltd
PNP.DB.TO	Pinetree Capital Ltd 8 Pct Debs
PNP.WT.A.TO	Pinetree Capital Ltd. Wts A
PNP.WT.B.TO	Pinetree Capital Ltd. Warrants B
POM.TO	Polymet Mining Corp.
POT.TO	Potash Corp Of Sask Inc
POU.TO	Paramount Resources Ltd.
POW.TO	Power Corporation Of Canada Sv
POW.PR.A.TO	Power Corp A Pr
POW.PR.B.TO	Power Corp. Preferred Shares Series B
POW.PR.C.TO	Power Corp Of Canada 5.80%
POW.PR.D.TO	Power Corpnon-Cum 1St Pfd Shs Ser D
POW.PR.E.TO	Power Corp Part Pr
POW.PR.F.TO	Power Corp 1St Pr
POW.PR.G.TO	Power Corp Of Canada 5.60 Pct Pref Ser G
PPF.UN.TO	Propel Multi Strategy Fund
PPL.TO	Pembina Pipeline Corporation
PPL.DB.C.TO	Pembina Pipeline Corp 5.75 Pct Debs
PPL.DB.E.TO	Pembina Pipeline Corp 5.75 Pct Debs E
PPL.DB.F.TO	Pembina Pipeline Corp. 5.75 Pct Debs F
PPS.TO	Powershares Cdn Pref Share Idx ETF
PRE.TO	Pacific Rubiales Energy Corp.
PRE.DB.TO	Pacific Rubiales Energy Corp 8% Debs
PRI.TO	Primary Energy Recycling Corp
PRP.TO	Prosep Inc.
PRQ.TO	Progress Energy Resources Corp.
PRQ.DB.B.TO	Progress Energy Res Corp. 5.25 Debs
PRQ.DB.C.TO	Progress Energy Res 5.75 Pct Dbs
PRT.TO	Prt Growing Services Ltd
PRU.TO	Perseus Mining Limited
PRW.TO	Petrowest Corporation
PSB.TO	Pwrshrs 1 To 5 Yrladder Inv Grd Bd ETF
PSD.TO	Pulse Seismic Inc.
PSF.UN.TO	Preferred Share Investment Trust
PSI.TO	Pason Systems Inc.
PSN.TO	Poseidon Concepts Corp
PSR.TO	Polar Star Mining Corporation
PSV.TO	Pure Energy Services Ltd.
PTI.TO	Patheon Inc
PTM.TO	Platinum Group Metals Ltd.
PTQ.TO	Petaquilla Minerals Ltd.
PTS.TO	Points International Ltd.
PTZ.TO	Pethealth Inc
PUR.TO	Pure Technologies Ltd
PVG.TO	Pretium Resources Inc.
PWC.TO	Pacific & Wstrn
PWC.NT.C.TO	Pacific
PWC.PR.A.TO	Pacific & Western Cl A Cum Pr Shares
PWC.PR.B.TO	Pacific Western Cl B Pref Shares
PWC.WT.TO	Pacific & Westn Credit Cp Ne
PWE.TO	Powertech Uranium Corp.
PWF.TO	Power Financial Corp.
PWF.PR.A.TO	Power Fin Ser A Pr
PWF.PR.E.TO	Power Fin Ser D Pr
PWF.PR.F.TO	Power Financial Corp. Pref. Series E
PWF.PR.G.TO	Power Financial Corp 5.90% Pr Series F
PWF.PR.H.TO	Power Financial Corp 5.75% Pr Series H
PWF.PR.I.TO	Power Financial Corp 6% Series I
PWF.PR.K.TO	Power Fin Corp 4.95% Ser K
PWF.PR.L.TO	Power Financial Corp Series Lpfd
PWF.PR.M.TO	Power Financial Corp. 6% Pref Ser M
PWF.PR.O.TO	Power Financial Corp 5.80 Pref Series O
PWF.PR.P.TO	Pwr Fnl Corp 4.40 Non Cumul Pref Ser P
PWF.PR.R.TO	Power Financial Corp 5.5 Pct Pref Ser R
PWT.TO	Penn West Petroleum Ltd.
PXC.TO	Powershr Ftse Rafi CAD Idx ETF
PXT.TO	Parex Resources Inc
PXT.DB.TO	Parex Resources Inc Deb
PXU.TO	Powershr Ftse Rafi US Idx ETF
PXX.TO	Blackpearl Resources Inc.
PYC.TO	Primary Corp
PYC.WT.TO	Primary Corp Wts
PZA.UN.TO	Pizza Pizza Royalty Income Fund
PZG.TO	Paramount Gold And Silver Corp
QBR.A.TO	Quebecor Inc. Cl.A Mv
QBR.B.TO	Quebecor Inc. Cl.B Sv
QEC.TO	Questerre Energy Corp
QLT.TO	Qlt Inc
QMI.TO	Queenston Mng
QQC.TO	Powershares QQQ CAD Hdg Idx ETF
QRM.TO	Quest Rare Minerals Ltd
QXM.TO	Xtf Morningstar Nb Quebec ETF
QXM.A.TO	Xtf Morningstar Nb Quebec Ac ETF
R.TO	Romarco Minerals Inc.
RBA.TO	Ritchie Bros Auctioneers Inc.
RBM.TO	Response Biomedical Corp.
RBN.UN.TO	Blue Ribbon Income Fund
RBS.TO	R Split III Corp. Capital Shares
RBS.PR.A.TO	R Split III Corp. Preferred Shares
RC.TO	Rdm Corp
RCB.TO	Red Crescent Resources Limited
RCH.TO	Richelieu Hardware
RCI.A.TO	Rogers Communications Inc. Cl.A Mv
RCI.B.TO	Rogers Communications Inc. Cl.B Nv
RCL.TO	Ridley Inc
RDI.TO	Rockwell Diamonds Inc
RDK.TO	Redhawk Resources Inc
RDL.TO	Redline Communications Group Inc.
RE.TO	Rock Energy Inc.
REF.UN.TO	Cdn Real Estate Un
REI.PR.A.TO	Riocan Real Estate Inv Trust Pref A
REI.PR.C.TO	Riocan Reit Pref Series C
REI.UN.TO	Riocan Real Est Un
REN.TO	Renaissance Gold Inc
RES.TO	Rare Element Resources Ltd
RET.TO	Reitmans Canada
RET.A.TO	Reitmans [Canada] Ltd. Cl.A Nv
REZ.TO	Redzone Resources Ltd
RGL.TO	Royal Gold J
RGT.TO	Rockgate Capital Corp
RI.TO	Reliance Resources Limited
RIB.UN.TO	Ridgewood CAD Invest Grade Bond Fund
RIC.TO	Richmont Mines
RIM.TO	Research In Motion Limited
RIN.TO	Resinco Capital Partners Inc.
RIO.TO	Rio Alto Mining Limited
RIT.UN.TO	First Assetreit Income Fund
RIU.UN.TO	Canadian Reit Income Fund
RKN.TO	Redknee Solutions Inc.
RME.TO	Rocky Mountain Dealerships Inc.
RME.DB.TO	Rocky Mountain Dealerships 7.00 Debs
RMM.DB.A.TO	Retrocom Mid Mkt Reit 6.75 Deb A
RMM.DB.B.TO	Retrocom Mid Mkt Reit 5.45 Pct Debs
RMM.UN.TO	Retrocom Mid-Market Rl Est In Trust
RMP.TO	Rmp Energy Inc
RMX.TO	Rubicon Minerals Corp.
RN.TO	Rio Novo Gold Inc
RN.WT.TO	Rio Novo Gold Inc Warrants
RNK.TO	Rainmaker Entertainment Inc.
RNX.TO	Royal Nickel Corporation
RNX.WT.TO	Royal Nickel Corporation Wts
RON.TO	Rona Inc.
RON.PR.A.TO	Rona Inc Class A Preferred
RPG.TO	Ram Power Corp.
RPG.WT.TO	Ram Power Corp Wts
RPI.UN.TO	Richards Packaging Income Fund
RQA.TO	RBC Target 2013 Corp Bond Index ETF
RQB.TO	RBC Target 2014 Corp Bond Index ETF
RQC.TO	RBC Target 2015 Corp Bond Index ETF
RQD.TO	RBC Target 2016 Corp Bond Index ETF
RQE.TO	RBC Target 2017 Corp Bond Index ETF
RQF.TO	RBC Target 2018 Corp Bond ETF
RQG.TO	RBC Target 2019 Corp Bond ETF
RQH.TO	RBC Target 2020 Corp Bond ETF
RR.TO	Rainy River Resources Ltd
RRB.UN.TO	Connor Clark & Lunn Real Ret. Income Fd
RSC.TO	Strateco Resources Inc.
RSI.TO	Rogers Sugar Inc
RSI.DB.C.TO	Rogers Sugar Inc. 5.70 Debs
RSI.DB.D.TO	Rogers Sugar 5.75 Pct Conv Debs
RTCM.TO	TSX Income Trust Index
RTG.TO	Ratel Group Limited Com
RTK.TO	Artek Exploration Ltd
RTRE.TO	TSX Reit Capped Index
RTU.UN.TO	Cdn Resources Un
RUS.TO	Russel Metals
RUS.DB.TO	Russel Metals Inc 7.75% Conv Debs
RUT.TO	Rutter Inc.
RV.TO	Revolution Resources Corp.
RVD.TO	Rio Verde Minerals Develop Corp
RVM.TO	Revett Minerals Inc.
RVX.TO	Resverlogix Corp.
RXM.TO	Rockex Mining Corporation
RY.TO	Royal Bank Of Canada
RY.NO.A.TO	RBC Pp Nikkei 225 Leostm Series 2
RY.NO.B.TO	RBC Pp Nikkei 225 Bear Leostm Series 1
RY.NO.Q.TO	RBC Pp Msci Eafe Index Fd. Linked Ser 3
RY.NT.B.TO	RBC Pp Dow 10Sm Leos Tm Ser 2
RY.PR.A.TO	Royal Bank Of Canada Prf Series Aa
RY.PR.B.TO	RBC Non-Cum First Preferred Series Ab
