AAA.TO	Allana Potash Corp
CLL.TO	Connacher Oil
CLL.DB.A.TO	Connacher Oil & Gas Limited 4.75% Debs
CLO.TO	Claymore Oil Sands Sector Common Units
CLO.A.TO	Claymore Oil Sands Sector Advisor Units
CLQ.TO	Canada Lithium Corp
CLR.TO	Clearwater Seafoods Incorporated
CLR.DB.A.TO	Clearwater Seafoods Inc Ser 07 7.25 Debs
CLR.DB.B.TO	Clearwater Seafoods Inc 10.50 Pct Debs
CLS.TO	Celestica Inc. Sv
CLT.TO	Celtic Exploration Ltd.
CLT.DB.TO	Celtic Exploration Ltd 5 Pct Debs
CLU.TO	Ishares US Fundamental Index Fund
CLU.A.TO	Ishares US Fundamental Index Fund Ac
CLU.B.TO	Ishares US Fundamental Index Fund Nh Ac
CLU.C.TO	Ishares US Fundamental Index Fund Nh
CM.TO	Canadian Imperial Bank Of Commerce
CM.PR.D.TO	Cdn Imp Bank Ser 26
CM.PR.E.TO	Cibc Pr.A Ser 27
CM.PR.G.TO	Cdn Imp Bank Of Com. Cl. A Pr. Ser 29
CM.PR.J.TO	Cibc Non-Cum Pref Cl A Ser 32
CM.PR.K.TO	Cibc Non-Cum Pref Cl A Ser 33
CM.PR.L.TO	Cibc Non-Cum Pref Cl A Ser 35
CM.PR.M.TO	Cibc Cl. A Pref Series 37
CM.PR.P.TO	Cdn Imp Bk Ser 18
CMF.TO	Claymore Managed Futures ETF
CMG.TO	Computer Modelling Group Ltd
CMH.TO	Carmanah Technologies Corp.
CMK.TO	Cline Mining Corp
CML.TO	Crowflight Minerals Inc
CMP.UN.TO	Cmp Gold Trust Units
CMP.WT.B.TO	Cmp Gold Trust Wts Srs B
CMR.TO	Claymore Premium Money Market ETF
CMT.TO	Compton Petroleum Corporation
CMT.WT.A.TO	Compton Petroleum Corporation Wts A
CMW.TO	Claymore S&P/Tsx Glbl Mining ETF Common
CMW.A.TO	Claymore S&P/Tsx Glbl Mining ETF Advsr
CMZ.UN.TO	Compass Income Fund
CNE.TO	Canacol Energy Ltd
CNE.DB.TO	Canacol Energy Ltd 8 Ptc Debs
CNJ.TO	Cangene Corp
CNL.TO	Continental Gold Ltd
CNL.WT.TO	Continental Gold Ltd Wts
CNM.UN.TO	Canadian Income Management Trust
CNQ.TO	Cdn Natural Res
CNR.TO	Canadian National Railway Co.
CNV.UN.TO	Convertible & Yield Advantage Trust
COA.TO	Coastal Contacts Inc.
COM.TO	Cardiome Pharma Corp
COP.TO	Coro Mining Corp.
COS.TO	Canadian Oil Sands Limited
COW.TO	Claymore Global Agr ETF Commonunits
COW.A.TO	Claymore Global Agr Etfclass A
COX.UN.TO	Coxe Commodity Strategy Fund Units
COX.WT.A.TO	Coxe Commodity Strategy Fund Wts
CP.TO	Canadian Pacific Railway Limited
CPD.TO	Claymore S&P/Tsx Cdn Pref Share ETF Com
CPD.A.TO	Claymore S&P/Tsx Cdn Pref Share ETF Adv
CPF.UN.TO	CITADEL PREMIUM INCOME FD
CPG.TO	Crescent Point Energy Corp.
CPI.TO	Condor Petroleum Inc
CPM.UN.TO	Copernican Int L Premium Dividend Fund
CPN.TO	Carpathian Gold Inc.
CPT.TO	Coalspur Mines Limited
CPX.TO	Capital Power Corporation
