CPE.H.V	Capital Pro Egaux Inc
CPK.V	Capstock Financial Inc
CPQ.P.V	Cinaport Acquisition Corp
CPR.P.V	Canada Pacific Capital Corp.
CPS.V	Claim Post Resources Inc
CPV.V	Copper Creek Gold Corp.
CQ.V	Cooper Minerals Inc.
CQM.V	Canadian Quantum Energy Corporation
CQR.V	Conquest Resources Ltd.
CQV.V	Canadian Imperial Venture Corp.
CQX.V	Cadillac Mining Corp
CRB.V	Cariboo Rose Resources Ltd
CRC.V	Crescent Resources Corp.
CRD.V	Coronado Resources Ltd.
CRE.V	Critical Elements Corporation
CRF.V	Coronet Metals Inc
CRI.V	Castle Resources Inc.
CRM.V	Crh Medical Corporation
CRO.V	Canadian Arrow Mines Ltd.
CRS.V	Cardiff Energy Corp
CRV.V	Cresval Capital Corp.
CRZ.V	Clemson Resources Corp
CSC.V	Columbus Silver Corporation
CSG.V	Cosigo Resources Ltd
CSL.V	Comstock Metals Ltd
CSN.V	Crimson Bioenergy Ltd
CSO.V	Corsa Coal Corp
CSQ.V	Canamex Resources Corp
CST.V	Co2 Solutions Inc.
CSV.V	Caracara Silver Inc
CSX.V	Clean Seed Capital Group Ltd
CT.V	Castillian Resources Corp.
CTG.V	Global Minerals Ltd.
CTH.V	Cynapsus Therapeutics Inc
CTI.V	Caiterra International Energy Corp
CTM.V	Canterra Minerals Corporation
CTN.V	Centurion Minerals Ltd.
CTR.V	Coltstar Ventures Inc
CTS.V	Cantronic Systems Inc.
CTT.V	Citation Resources Inc
CTW.V	Catch The Wind Ltd
CTX.H.V	Catalina Metals Corp
CTZ.V	Cencotech Inc.
CUA.V	Cuoro Resources Corp
CUI.V	Currie Rose Resources Inc.
CUO.V	Copper One Inc.
CUT.V	Cortez Gold Corp.
CUU.V	Copper Fox Minerals Inc.
CV.H.V	Chantrell Ventures Corp.
CVB.V	Compass Gold Corporation
CVN.V	Cavan Ventures Inc.
CVR.V	Cdn Oil Recovery & Remediation Ent Ltd.
CVX.V	Cematrix Corporation
CWC.V	Central Alberta Well Services Corp
CWM.V	Crown Gold Corporation
CWP.V	Comwest Enterprise Corp. Cl.B
CWP.A.V	Comwest Enterprise Corp. Cl.A
CWQ.V	Curlew Lake Resources Inc
CWS.H.V	Cons Westview Res Corp
CWV.V	Crown Point Ventures Ltd.
CWY.V	Conway Resources Inc
CXB.V	Calibre Mining Corp.
CXD.V	Cadan Resources Corporation
CXE.H.V	Camex Energy Corp
